COUNT,House Amount (in thousands),Senate Amount (in thousands),Full-Year CR Amount (in thousands),Program Increase,Amendment,Sponsor(s),Airdrop,Zero to Hero,Unfunded Priority,Emergency Funding (Senate),Program Element,Service Subsection,Bill Subsection,Bill Section,Proposed Funding Offset
,"$ 10,000",,,Machine learning for advanced lightweight combat vehicle structures,,,,Yes,,,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,"$ 7,500",,,Maneuverable lightweight electric weight reducer,,,,Yes,,,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,,"$ 10,000","$ 7,000",Mesophase pitch-baesd synthetic graphite,,,,Yes,,,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,,"$ 4,000","$ 4,000",Modular electric motors,,,,Yes,,,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,,"$ 5,000",,Off-road maneuver,,,,No,,,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,"$ 5,000",,"$ 5,000",Operational energy testing,,,,Yes,,,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,"$ 5,000",,,Self sealing fuel tanks,,,,Yes,,,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,"$ 8,000","$ 8,000","$ 8,000",Silent mobility vehicle cooling,,,,Yes,,,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,"$ 10,000",,,Synthetic graphite battery technology,,,,Yes,,,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,,"$ 5,000",,Thermoplastics materials digital twin,,,,Yes,,,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,"$ 11,000",,"$ 1,500",To support the Autonomous Vehicle Mobility Institute (AVMI) / Autonomous Vehicle Mobility Institute,118,McGovern (MA),,Yes,,,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,"RDT&E, Army"
,,"$ 10,000","$ 10,000",Virtual prototyping of ground-air vehicle formations,,,,Yes,,,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,,"$ 4,000",,Wide-area motion imagery sensor for overwatch,,,,Yes,,,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,,"$ 2,500",,Additive manufacturing for military vehicles,,,,Yes,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,"$ 3,600",,,Advanced gunner restraint system,,,,Yes,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,"$ 10,000",,,Advanced materials development for survivability,,,,Yes,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,"$ 12,000",,"$ 7,000",Analytics and visualization of autonomous vehicle systems,,,,Yes,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,,"$ 5,000","$ 5,000",Autonomous vehicle research initiative,,,,Yes,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,,"$ 7,000",,Data analytics for autonomous vehicle systems,,,,No,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,"$ 5,000","$ 2,000",,Expeditionary advanced manufacturing / Expeditionary fabrication,,,,Yes,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,,"$ 3,500",,Fast refueling fuel cell engines,,,,Yes,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,,"$ 10,000",,Hydrogen technologies,,,,Yes,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,,"$ 7,500",,Large metal additive manufacturing for ground vehicles,,,,Yes,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,"$ 5,000",,"$ 5,000",Machine learning optimized power electronics,,,,Yes,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,"$ 5,000",,,Magnetic Gear Research,104,Luttrell (TX),,Yes,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,"RDT&E, Army"
,"$ 10,000",,,Medium caliber munitions,,,,No,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,,"$ 2,500",,Modeling and simulation for digital engineering,,,,No,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,,"$ 1,000",,Polymer-based proton exchange membrane devices,,,,Yes,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,"$ 5,000",,,Quantum cyber resilience manned and unmanned ground vehicle prototype,,,,Yes,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,"$ 14,000",,"$ 14,000",Silicon carbide electronics,,,,Yes,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,,"$ 4,000",,Small unit technology advancements,,,,Yes,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,"$ 5,000","$ 3,000","$ 3,000",Standardized Army battery for enhanced performance and safety / Standardized battery for enhanced performance,187,Wilson (SC),,Yes,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,"O&M, Defense-Wide"
,"$ 5,000","$ 2,000","$ 2,000",Vehicle power protection,,,,Yes,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,,"$ 1,000",,Virtual experimentation for ground vehicle technologies,,,,No,,,Next Generation Combat Vehicle Technology,,Army,RDT&E,
,,"$ 10,000","$ 10,000",ENVG-B advanced capabilities,,,,No,,,Night Vision Systems - Eng Dev,,Army,RDT&E,
,,"$ 3,000","$ 3,000",AI-enabled tactical intelligence,,,,Yes,,,Night Vision Systems Advanced Development,,Army,RDT&E,
,,"$ 5,000","$ 5,000",Immersive AR/VR for UAS,,,,Yes,,,Night Vision Systems Advanced Development,,Army,RDT&E,
,"$ 5,000","$ 3,000","$ 3,000",Containerized weapon system - APKWS / Containerized weapon system,,,,Yes,,,Other Missile Product Improvement Programs,,Army,RDT&E,
,"$ 3,000",,,AI-based assessment of tactical combat casualty care,,,,Yes,,,Soldier Lethality Advanced Technology,,Army,RDT&E,
,"$ 7,000",,,Alternative proteins research,,,,Yes,,,Soldier Lethality Advanced Technology,,Army,RDT&E,
,,"$ 7,500",,Artificial intelligence and assistive automation system,,,,Yes,,,Soldier Lethality Advanced Technology,,Army,RDT&E,
,,"$ 2,000",,Autonomous aerial cargo delivery,,,,Yes,,,Soldier Lethality Advanced Technology,,Army,RDT&E,
,,"$ 2,000",,Energy-harvesting rucksack for extreme weather,,,,Yes,,,Soldier Lethality Advanced Technology,,Army,RDT&E,
,,"$ 5,000","$ 5,000",Foundational models for generative AI,,,,Yes,,,Soldier Lethality Advanced Technology,,Army,RDT&E,
,"$ 5,000","$ 2,500",,Helmet pads for next generation integrated head protection / Next generation integrated head protection system,,,,Yes,,,Soldier Lethality Advanced Technology,,Army,RDT&E,
,"$ 5,000",,,HMD risk reduction for improved IVAS,,,,Yes,,,Soldier Lethality Advanced Technology,,Army,RDT&E,
,,"$ 5,000","$ 5,000",Military footwear research,,,,Yes,,,Soldier Lethality Advanced Technology,,Army,RDT&E,
,"$ 5,000",,,Optimizing the human weapon system,,,,Yes,,,Soldier Lethality Advanced Technology,,Army,RDT&E,
,,"$ 2,000",,Personal air mobility capability,,,,Yes,,,Soldier Lethality Advanced Technology,,Army,RDT&E,
,"$ 5,000",,,Pilot program for drone agnostic and programmable munitions for sUAV,,,,Yes,,,Soldier Lethality Advanced Technology,,Army,RDT&E,
,"$ 10,000",,,Securing thermal technology capabilities,,,,Yes,,,Soldier Lethality Advanced Technology,,Army,RDT&E,
,"$ 10,000","$ 2,000","$ 2,000",Soldier ballistic head protection / Enhanced head protection system,,,,Yes,,,Soldier Lethality Advanced Technology,,Army,RDT&E,
,,"$ 3,000",,Academic accelerator program,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,,"$ 3,000",,Advanced textiles and shelters,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,"$ 5,000",,,Aerial delivery of fire suppression,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,,"$ 5,000",,Automated pilot for small tactical universal battery,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,,"$ 4,000",,Digital night vision technology,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,,"$ 2,500",,Domestic silicon anode development,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,"$ 12,000",,,Emergence Readiness Initiative,102,"Letlow (LA), Carter (LA)",,Yes,,,Soldier Lethality Technology,,Army,RDT&E,"RDT&E, Army"
,,"$ 1,000",,Enhanced ballistic protective eyewear,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,"$ 10,000",,,For the Army Pathfinder program for Human-Machine Teaming,59,Hern (OK),,Yes,,,Soldier Lethality Technology,,Army,RDT&E,"RDT&E, Army"
,"$ 5,000","$ 2,000","$ 8,000",Harnessing Emerging Research Opportunities to Empower Soldiers (HEROES) program / HEROES,172,Trahan (MA),,Yes,,,Soldier Lethality Technology,,Army,RDT&E,"O&M, Defense-Wide"
,,"$ 5,000",,Lightweight fuel cell,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,"$ 10,000",,,Nanolayered polymer optics,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,,,"$ 2,500",Non PFAS firefighting protective equipment fix caps,,,,No,,,Soldier Lethality Technology,,Army,RDT&E,
,,"$ 15,000","$ 29,000",Operational test environment and facility for cybersecurity training,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,"$ 10,000","$ 2,000","$ 2,000",Pathfinder air assault,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,"$ 8,000","$ 8,000","$ 8,000",Pathfinder airborne,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,,"$ 5,000",,Pathfinder arctic,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,,"$ 2,500",,Pathfinder arctic warfare,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,"$ 8,200",,,Pathfinder force protection,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,"$ 8,000",,,Pathfinder multidomain operations prototypes,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,"$ 7,500",,,Pilot Production Line for Next Generation Battery Anode Materials,178,Van Duyne (TX),,Yes,,,Soldier Lethality Technology,,Army,RDT&E,"O&M, Defense-Wide"
,,"$ 4,000",,Polymer electrolytes for soldier worn batteries,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,,"$ 5,000",,Scaling sublimation process of silicon anode manufacturing,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,"$ 12,000",,,Soldier and platoon lightweight fuel cell,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,"$ 10,000",,,SPAD sensor technology maturation,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,"$ 5,000",,,XMP and CAV-X projectiles,,,,Yes,,,Soldier Lethality Technology,,Army,RDT&E,
,"$ 8,500",,,To support Micro-LED Soldier Systems Display Prototype for night vision system advanced development,117,McGovern (MA),,Yes,,,Soldier Support and Survivability,,Army,RDT&E,"RDT&E, Army"
,,"$ 4,500",,Advanced thermal management textiles,,,,Yes,,,Soldier Systems - Advanced Development,,Army,RDT&E,
,,"$ 7,500",,Development of fully integrated sight,,,,Yes,,,Soldier Systems - Advanced Development,,Army,RDT&E,
,,"$ 2,000",,Low-recoil firing system,,,,No,,,Soldier Systems - Advanced Development,,Army,RDT&E,
,,"$ 2,000",,Conformal wearable battery,,,,Yes,,,Soldier Systems - Warrior Dem/Val,,Army,RDT&E,
,"$ 5,000",,,Domestic solid-state battery manufacturing,,,,Yes,,,Soldier Systems - Warrior Dem/Val,,Army,RDT&E,
,"$ 10,000",,,Operational electronic warfare laboratory and integration,,,,Yes,,,Tactical Electronic Surveillance System - Adv Dev,,Army,RDT&E,
,"$ 5,000",,,Digital technologies,,,,No,,,Tactical Intel Targeting Access Node (TITAN) EMD,,Army,RDT&E,
,"$ 10,000",,,120mm kinetic energy tank propellant,,,,Yes,,,Tank and Medium Caliber Ammunition,,Army,RDT&E,
,"$ 20,000","$ 1,000","$ 1,000",155mm boosted payload carrier,,,,Yes,,,Tank and Medium Caliber Ammunition,,Army,RDT&E,
,"$ 10,000",,,XM1155-SC seeker development and test,,,,No,,,Tank and Medium Caliber Ammunition,,Army,RDT&E,
,"$ 5,000",,"$ 5,000",Replacement of foreign engines for aerial targets,,,,Yes,,,Target Systems Development,,Army,RDT&E,
,,"$ 7,000","$ 7,000","UAS swarm threat representation, detection, and mitigation",,,,Yes,,,Target Systems Development,,Army,RDT&E,
,"$ 7,900",,,Army geospatial enterprise data advantage,,,,No,,,Technical Information Activities,,Army,RDT&E,
,,"$ 6,000",,Cyber threat emulation,,,,Yes,,,Threat Simulator Development,,Army,RDT&E,
,,"$ 4,000","$ 4,000",Multi-domain operations range pilot,,,,Yes,,,Threat Simulator Development,,Army,RDT&E,
,"$ 5,000",,,Threat Counter Artificial Intelligence (TCAI),159,"Strong (AL), Nunn (IA), Escobar (TX)",,Yes,,,Threat Simulator Development,,Army,RDT&E,"RDT&E, Army"
,,"$ 1,000",,Biotechnology advancement research,,,,No,,,University and Industry Research Centers,,Army,RDT&E,
,,"$ 7,000","$ 7,000",Connected vehicle cybersecurity center,,,,Yes,,,University and Industry Research Centers,,Army,RDT&E,
,,"$ 2,500","$ 2,500",Materials in extreme dynamic environments,,,,Yes,,,University and Industry Research Centers,,Army,RDT&E,
,,"$ 3,000",,Wearable health and environment monitoring device,,,,Yes,,,University and Industry Research Centers,,Army,RDT&E,
,"$ 10,000",,,Soldier touchpoint center CsUAS extensions,,,,Yes,,,University Research Initiatives,,Army,RDT&E,
,"$ 10,000",,,"To develop multi-layered, multifunctional elastomeric systems for next generation protective equipment and deployable sensors",119,Miller (OH),,Yes,,,University Research Initiatives,,Army,RDT&E,"RDT&E, Army"
,"$ 9,000",,"$ 9,000",Defense munitions proving ground,,,,Yes,,,Weapons and Munitions - Eng Dev,,Army,RDT&E,
,,"$ 4,800","$ 4,800",Advanced thermal batteries,,,,Yes,,,Weapons and Munitions Product Improvement Programs,,Army,RDT&E,
,"$ 5,000","$ 4,000",,Agile compliance and supply chain management / Material analysis instruments for supply chain risk management,,,,Yes,,,Weapons and Munitions Product Improvement Programs,,Army,RDT&E,
,,"$ 6,000","$ 3,000",Development and testing software for 155 mm round production,,,,Yes,,,Weapons and Munitions Product Improvement Programs,,Army,RDT&E,
,,"$ 4,400","$ 4,400",Munitions production research,,,,No,,,Weapons and Munitions Product Improvement Programs,,Army,RDT&E,
,,"$ 10,000","$ 5,000",Refractory metal alloys for hypersonics,,,,Yes,,,Weapons and Munitions Product Improvement Programs,,Army,RDT&E,
,"$ 10,000","$ 10,000","$ 10,000",Stibnite and antimony / Stibnite and antimony for ammunition production,,,,Yes,,,Weapons and Munitions Product Improvement Programs,,Army,RDT&E,
,"$ 5,000",,,Advanced Air Mobility,125,Molinaro (NY),,Yes,,,,,Army,RDT&E,"RDT&E, Army"
,"$ 6,000",,,Airless Tire Demonstration for Infantry Squad Vehicles,170,Timmons (SC),,Yes,,,,,Army,RDT&E,"O&M, Defense-Wide"
,"$ 20,000",,,Department of Defense Quantum Computing Center of Excellence,107,Mace (SC),,Yes,,,,,Army,RDT&E,"O&M, Defense-Wide"
,"$ 2,000",,,Federated data framework for Open Systems Multi-Intelligence Fusion to improve the speed at which U.S. Army forces can identify and neutralize threats in combat,11,"Banks (IN), Trone (MD)",,Yes,,,,,Army,RDT&E,"Procurment, Army"
,"$ 6,000",,,Ground Vehicle Robotics for new technology to retrofit existing military vehicles with COTS autonomous solutions,123,Mills (FL),,Yes,,,,,Army,RDT&E,"RDT&E, Navy"
,"$ 5,000",,,High Performance Glass Fiber Melter,188,Wilson (SC),,Yes,,,,,Army,RDT&E,"O&M, Defense-Wide"
,"$ 15,000",,,Quadruped Unmanned Ground Systems,189,"Wilson (SC), Hudson (NC)",,Yes,,,,,Army,RDT&E,"RDT&E, Defense-Wide"
,"$ 5,000",,,Spectrum sharing and management with adaptable and reconfigurable technology research,150,Sessions (TX),,Yes,,,,,Army,RDT&E,"O&M, Defense-Wide"
,"$ 5,000",,,Test and evaluate NDAA-compliant tethered small unmanned aerial systems (tethered-sUAS) capabilities in collaboration with the Army's Small Multipurpose Equipment Transport (S-MET),124,Mills (FL),,Yes,,,,,Army,RDT&E,"RDT&E, Army"
,"$ 10,000",,,To fund the development of a high energy laser maturation system,24,Carl (AL),,No,,,,,Army,RDT&E,"O&M, Defense-Wide"
,"$ 5,000",,,To provide for the Army’s operational evaluation of tactical throwable camera systems,173,"Trahan (MA), Hudson (NC), Keating (MA), Kennedy, Tim (NY), Langworthy (NY)",,Yes,,,,,Army,RDT&E,"O&M, Defense-Wide"
,"$ 7,700",,,To support accelerated development of a ruggedized Artificial Intelligence (AI)/Machine Learning (ML) architecture that will provide high-performance computation and latency performance to enable simultaneous AI/ML instances in C5ISR platforms operating in contested environments,114,"McCormick (GA), Peters (CA), Nunn (IA)",,Yes,,,,,Army,RDT&E,"RDT&E, Defense-Wide"
,"$ 4,000",,,"To support development by Combat Capability Development Command, Soldier Center of the Air-deployed Long-range Autonomous Resupply Aircraft (ALARA) to support sustainment in contested environments",109,McCormick (GA),,Yes,,,,,Army,RDT&E,"RDT&E, Air Force"
,"$ 3,000",,,To support Intraosseous Antibiotics for Osseointegration in order to offer increased function to servicemembers with major limb amputations,63,Hudson (NC),,Yes,,,,,Army,RDT&E,"RDT&E, Army"
,"$ 5,000",,,To support the Walter Reed Army Institute of Research (WRAIR) Mitochondria Traumatic Brain Injury (TBI) program to enable continued research of mitochondria organelle transplantation as a treatment for TBI symptoms,113,"McCormick (GA), Moylan (GU)",,Yes,,,,,Army,RDT&E,"RDT&E, Air Force"
,"$ 5,000",,,Ultra high molecular weight polyethylene fiber (UHMWPE),108,McClellan (VA),,Yes,,,,,Army,RDT&E,"Procurement, Army"
,"$ 7,000",,,Virtual Engineering for Army Readiness and Sustainment (VEARS),13,"Bergman (MI), Moolenaar (MI)",,Yes,,,,,Army,RDT&E,"O&M, Defense-Wide"
,,"$ 1,000",,Broad-spectrum indirect antiviral research,,,,No,,,Chemical and Biological Defense Program—Advanced Development,Chemical and Biological Defense Program,Defense-Wide,RDT&E,
,,"$ 5,000",,Synthetic molecular binding agents for diagnostics,,,,Yes,,,Chemical and Biological Defense Program—Advanced Development,Chemical and Biological Defense Program,Defense-Wide,RDT&E,
,"$ 10,000",,,BRIDGES,,,,Yes,,,"Command, Control and Communications Systems",Defense Advanced Research Projects Agency,Defense-Wide,RDT&E,
,"$ 10,000",,,Underexplored systems for utility-scale quantum computing (US2QC),,,,No,,,Information & Communications Technology,Defense Advanced Research Projects Agency,Defense-Wide,RDT&E,
,,"$ 3,000",,3D weaving of near-net-shape hypersonic structures,,,,Yes,,,Manufacturing Technology Program,Defense Logistics Agency,Defense-Wide,RDT&E,
,,"$ 3,000",,3DHI microsystems assurance,,,,Yes,,,Manufacturing Technology Program,Defense Logistics Agency,Defense-Wide,RDT&E,
,"$ 8,350",,,Accelerated part-to-part AI & algorithm matching,,,,Yes,,,Manufacturing Technology Program,Defense Logistics Agency,Defense-Wide,RDT&E,
,,"$ 5,000","$ 5,000",Critical mineral supply chain resiliency,,,,Yes,,,Manufacturing Technology Program,Defense Logistics Agency,Defense-Wide,RDT&E,
,,"$ 4,000","$ 4,000",Domestic production of tantalum,,,,Yes,,,Manufacturing Technology Program,Defense Logistics Agency,Defense-Wide,RDT&E,
,"$ 5,000",,,Domestic rare earth elements feasibility study,,,,Yes,,,Manufacturing Technology Program,Defense Logistics Agency,Defense-Wide,RDT&E,
,,"$ 8,500","$ 8,500",High performance synthetic graphite,,,,Yes,,,Manufacturing Technology Program,Defense Logistics Agency,Defense-Wide,RDT&E,
,,"$ 10,000","$ 5,000",High temperature ceramic composite lab and prototyping,,,,Yes,,,Manufacturing Technology Program,Defense Logistics Agency,Defense-Wide,RDT&E,
,,"$ 1,000",,Hypersonic randomes and apertures,,,,Yes,,,Manufacturing Technology Program,Defense Logistics Agency,Defense-Wide,RDT&E,
,,"$ 1,000",,Hypersonic refractory alloy powder production,,,,Yes,,,Manufacturing Technology Program,Defense Logistics Agency,Defense-Wide,RDT&E,
,"$ 10,000",,,Isothermal redox facility,,,,Yes,,,Manufacturing Technology Program,Defense Logistics Agency,Defense-Wide,RDT&E,
,"$ 8,000",,,Low cost domestic graphite,,,,Yes,,,Manufacturing Technology Program,Defense Logistics Agency,Defense-Wide,RDT&E,
,,"$ 3,000","$ 3,000",Niobium supply chain for aerospace critical superalloys,,,,Yes,,,Manufacturing Technology Program,Defense Logistics Agency,Defense-Wide,RDT&E,
,,"$ 4,000",,Processing pilot for high-purity nickel,,,,Yes,,,Manufacturing Technology Program,Defense Logistics Agency,Defense-Wide,RDT&E,
,"$ 10,000",,,Rapid Additive Manufacturing Critical Hardware,181,"Wasserman Schultz (FL), Mast (FL)",,No,,,Manufacturing Technology Program,Defense Logistics Agency,Defense-Wide,RDT&E,"O&M, Defense-Wide"
,,"$ 2,500",,Steel performance initiative,,,,Yes,,,Manufacturing Technology Program,Defense Logistics Agency,Defense-Wide,RDT&E,
,,"$ 7,500","$ 7,500",Supply chain readiness improvement program,,,,Yes,,,Manufacturing Technology Program,Defense Logistics Agency,Defense-Wide,RDT&E,
,"$ 10,000",,,Equipment modernization for DMEA,,,,No,,,Microelectronics Technology Development and Support,Defense Logistics Agency,Defense-Wide,RDT&E,
,"$ 5,000",,,MIL-PFR-19500 qualified domestic military specification semiconductor parts,,,,Yes,,,Microelectronics Technology Development and Support,Defense Logistics Agency,Defense-Wide,RDT&E,
,,"$ 4,500","$ 4,500",Global water security center,,,,Yes,,,Pacific Disaster Centers,Defense Logistics Agency,Defense-Wide,RDT&E,
,"$ 5,000",,"$ 5,000",AI/ML capability integration,,,,No,,,Defense Technical Information Center (DTIC),Defense Technical Information Center,Defense-Wide,RDT&E,
,"$ 5,250",,,Baseline artificial intelligence of indications and warnings from a cellular kit,,,,Yes,,,Counter Weapons of Mass Destruction Advanced Technology Development,Defense Threat Reduction Agency,Defense-Wide,RDT&E,
,,"$ 5,000","$ 5,000",Diagnostic evaluation of transient turbulence,,,,Yes,,,Counter Weapons of Mass Destruction Advanced Technology Development,Defense Threat Reduction Agency,Defense-Wide,RDT&E,
,,"$ 4,500",,Materials science in extreme environments,,,,No,,,DTRA Basic Research,Defense Threat Reduction Agency,Defense-Wide,RDT&E,
,,"$ 2,000",,Federal voting assistance program,,,,No,,,"R&D in Support of DOD Enlistment, Testing and Evaluation","Department of Defense, Human Resources Activity",Defense-Wide,RDT&E,
,,"$ 10,000",,Counter hypersonic missile propulsion,,,,Yes,,,Advanced Concepts and Performance,Missile Defense Agency,Defense-Wide,RDT&E,
,"$ 10,000",,"$ 10,000",Hypersonic HWIL digital acquisition,,,,Yes,,,Advanced Concepts and Performance / Advanced Research,Missile Defense Agency,Defense-Wide,RDT&E,
,,"$ 1,500",,Advanced energetics for deeply buried targets,,,,Yes,,,Advanced Research,Missile Defense Agency,Defense-Wide,RDT&E,
,,"$ 4,000",,Hypersonic interceptor component technology,,,,Yes,,,Advanced Research,Missile Defense Agency,Defense-Wide,RDT&E,
,"$ 5,000",,,Nuclear Modernization Survivability Testing and Workforce Development and Training Program,162,"Strong (AL), Beyer (VA)",,Yes,,,Advanced Research,Missile Defense Agency,Defense-Wide,RDT&E,"RDT&E, Defense-Wide"
,,,"$ 17,500",Radiation hardened microelectronics,,,Yes,Yes,,,Advanced Research,Missile Defense Agency,Defense-Wide,RDT&E,
,,"$ 89,200",,Guam defense system (emergency),,,,No,INDOPACOM,Yes,Aegis BMD,Missile Defense Agency,Defense-Wide,RDT&E,
,"$ 10,000",,,SM-3 advanced capability DACS demonstration,,,,No,,,Aegis BMD,Missile Defense Agency,Defense-Wide,RDT&E,
,,"$ 1,200",,Guam defense system (emergency),,,,Yes,INDOPACOM,Yes,Aegis BMD Test,Missile Defense Agency,Defense-Wide,RDT&E,
,"$ 13,500",,,MDA unfunded priority for infrastructure modernization initiative,,,,Yes,Missile Defense Agency,,"Ballistic Missile Defense Command and Control, Battle Management and Communication",Missile Defense Agency,Defense-Wide,RDT&E,
,"$ 10,000",,,Advanced reactive target simulation,,,,Yes,,,Ballistic Missile Defense Targets,Missile Defense Agency,Defense-Wide,RDT&E,
,,"$ 14,400",,Guam defense system (emergency),,,,Yes,INDOPACOM,Yes,Ballistic Missile Defense Targets,Missile Defense Agency,Defense-Wide,RDT&E,
,,"$ 5,000","$ 2,500",Low-cost hypersonic flight test bed,,,,Yes,,,Ballistic Missile Defense Targets,Missile Defense Agency,Defense-Wide,RDT&E,
,,"$ 76,500",,Guam defense system (emergency),,,,No,INDOPACOM,Yes,Guam Defense Development,Missile Defense Agency,Defense-Wide,RDT&E,
,"$ 5,000",,,High power electronic defense prototype,,,,Yes,,,Technology Maturation Initiatives,Missile Defense Agency,Defense-Wide,RDT&E,
,"$ 10,000","$ 2,500","$ 2,500",Short pulse laser directed energy demonstration for hypersonic defense / Short pulse laser research,,,,Yes,,,Technology Maturation Initiatives,Missile Defense Agency,Defense-Wide,RDT&E,
,,"$ 5,000",,CUAS for multi-modal classifier,,,,No,,,Advanced Innovative Analysis and Concepts,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 100,000",,"$ 80,000",Classified adjustment,,,,No,,,Advanced Innovative Technologies,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 25,000",,"$ 10,000",Hypersonic readiness assessment vehicle,,,,Yes,,,Advanced Innovative Technologies,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000",,,Installation microcreactor power backup,,,,Yes,,,Advanced Innovative Technologies,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 36,200","$ 22,480","$ 22,480",Project Pele mobile microreactor / Project Pele,,,,Yes,,,Advanced Innovative Technologies,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 8,000",,,Sensors for autonomous unmanned surface vehicles,,,,Yes,,,Advanced Innovative Technologies,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 15,000","$ 5,000","Large scale, agile, additive and hybrid manufacturing pilot program",,,,Yes,,,Advanced Manufacturing Components and Prototypes,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 10,000",,,Data labeling with quality control & trust score auditability,,,,No,,,Alpha-1 Development Activities,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 2,426",,Assessment and mitigation of foreign ownership and control,,,,Yes,,,Analytic Assessments,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 8,000",,,Strategic multilayer assessment,,,,Yes,,,Analytic Assessments,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 20,000",,DEPSCoR,,,,Yes,,,Basic Research Initiatives,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 15,000","$ 10,000","$ 10,000",Hispanic serving research cohort,,,,Yes,,,Basic Research Initiatives,Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 15,100",,,Advanced training range,,,,No,,,Central Test and Evaluation Investment Development (CTEIP),Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 3,000",,Excellence in aerospace modeling and simulation,,,,Yes,,,Central Test and Evaluation Investment Development (CTEIP),Office of the Secretary of Defense,Defense-Wide,RDT&E,
,,"$ 15,000",,Hypersonic multi-domain test modules,,,,Yes,,,Central Test and Evaluation Investment Development (CTEIP),Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 100,000",,"$ 100,000",Hypersonic test facility,,,,No,,,Central Test and Evaluation Investment Development (CTEIP),Office of the Secretary of Defense,Defense-Wide,RDT&E,
,"$ 8,100",,"$ 8,100",Simulation of hypersonic test facility,,,,No,,,Central Test and Evaluation Investment Development (CTEIP),Office of the Secretary of Defense,Defense-Wide,RDT&E,
